name,Spp,δ13C,δ15N
FS1,Common Dab,-17.11499648,9.989380489
FS10,Grey Gurnard,-17.77063322,11.02301968
FS11,Grey Gurnard,-18.30113345,10.71447535
FS12,Common Dab,-17.22,10.1627027
FS13,Long Rough Dab,-16.74,9.730036466
FS14,Long Rough Dab,-18.0121647,9.033032436
FS15,Squid,-18.08133756,10.8758121
FS16,Squid,-19.12,11.54705434
FS17,Plaice,-17.4145324,10.94
FS18,Plaice,-16.96318024,11.24
FS19,Plaice,-17.24411833,9.63
FS2,Squid,-17.92,11.44993083
FS20,Lemon Sole,-18.04773258,9.99
FS21,Norway Pout,-17.83239535,9.04
FS22,Red Gurnard,-17.92059283,9.659242639
FS23,Bluemouth,-19.80228722,11.71
FS24,Bluemouth,-17.889717,11.62
FS25,Blue Whiting,-19.30704968,9.29
FS26,Bluemouth,-18.15107842,11.62757955
FS27,Plaice,-17.08441573,9.89
FS28,Red Gurnard,-18.22477642,11.38898676
FS29,Blue Whiting,-19.08385735,10.76356026
FS3,Argentine,-17.44205446,11.20628884
FS30,Blue Whiting,-19.10954299,8.629290307
FS31,Norway Pout,-19.63518334,10.38
FS32,Lemon Sole,-18.83204332,9.59
FS33,Plaice,-17.41108158,11.69
FS34,Lemon Sole,-18.45121396,9.56
FS35,Red Gurnard,-18.35843899,10.88
FS36,Plaice,-17.77574262,11.29
FS37,Common Dab,-18.0276749,9.89
FS38,Grey Gurnard,-18.60181676,10.71
FS39,Grey Gurnard,-18.105484,10.47
FS4,Argentine,-16.93078349,11.84356841
FS40,Grey Gurnard,-18.25957351,10.96
FS41,Common Dab,-17.22793036,10.07
FS42,Common Dab,-17.58340534,9.93
FS43,Norway Pout,-19.96932278,9.97
FS44,Common Dab,-18.17401248,9.56
FS45,Common Dab,-17.56793607,10.1
FS46,Common Dab,-18.53459207,9.91
FS47,Argentine,-17.8000028,11.34
FS48,Argentine,-17.5914362,11.06
FS49,Poor Cod,-19.20362927,10.89
FS50,Common Dab,-16.9503964,10.88
FS51,Poor Cod,-18.5900314,10.39
FS52,Cod,-17.66443437,11.36
FS53,Common Dab,-17.55495719,10.33
FS54,Norway Pout,-18.5197391,9.93
FS55,Poor Cod,-17.59427448,11.44
FS56,Common Dab,-17.16046232,10.1
FS57,Cod,-16.83314968,12.23
FS58,Common Dab,-17.47638176,9.5
FS59,Argentine,-16.94902095,11.26
FS6,Argentine,-17.36,11.87115367
FS60,Grey Gurnard,-18.09,10.13
FS61,Cod,-17.12,11.23
FS62,Common Dab,-17.36,9.67
FS63,Common Dab,-16.85,8.79
FS64,Grey Gurnard,-18.71,10.68
FS65,Grey Gurnard,-17.87,10.83
FS66,Norway Pout,-19.18,10.11
FS67,Norway Pout,-17.86,9.55
FS68,Squid,-18.01,9.54
FS69,Squid,-17.97,11.32
FS7,Long Rough Dab,-18.3434834,9.069478396
FS70,Squid,-17.81,11.01
FS8,Common Dab,-17.75948859,10.92712744
FS9,Grey Gurnard,-17.76,10.83361096
AMTF,Sandeel,-17.238,8.3
AMSB,Sandeel,-17.838,7.9
