Prey Group,Grey | Plasma,Harbour | Plasma,Grey | RBC,Harbour | RBC
Argentine ,0.000 (0.000-0.000),0.311 (0.119-568),0.000 (0.000-0.004),0.354 (0.136-0.631
Bluemouth,0.435 (0.162-0.682),0.000 (0.000-0.007),0.424 (0.128-0.709),0.000 (0.000-0.002)
Cod,0.232 (0.069-0.479),0.430 (0.132-0.704),0.259 (0.073-0.538),0.400 (0.147-0.648)
Common Dab,0.009 (0.000-0.088),0.000 (0.000-0.047),0.008 (0.000-0.086),0.000 (0.000-0.044)
Flatfish,0.008 (0.008-0.089),0.000 (0.000-0.045),0.008 (0.000-0.080),0.000 (0.000-0.041)
Plaice,0.011 (0.000-0.115),0.000 (0.000-0.055),0.011 (0.000-0.106),0.000 (0.000-0.060)
Sandeel,0.039 (0.004-0.164,0.129 (0.025-0.373),0.039 (0.004-0.195),0.106 (0.032-0.283)
Scorpionfish ,0.147(0.037-0.363),0.000 (0.000-0.000),0.129 (0.032-0.325),0.000 (0.000-0.006)
Squid,0.000 (0.000-0.028),0.000 (0.000-0.046),0.000 (0.000-0.025),0.000 (0.000-0.055)
Trisopterus,0.005 (0.000-0.098),0.040 (0.003-0.192),0.005 (0.000-0.081),0.046 (0.003-0.208)
