name,d15n,d13c,X.N,X.C,C.N.ratio,Species,Type
009_DR,13.69,-17.5,14.41,46.53,3.2,Harbor,RBC
009_DR,12.83,-18.89,11.87,43.09,3.6,Harbor,RBC
017_DR,13.24,-16.78,15.1,48.71,3.2,Harbor,RBC
023_DR,12.2,-17.2,14.55,47.15,3.2,Harbor,RBC
012_DR,12.96,-16.89,14.76,47.85,3.2,Harbor,RBC
029_DR,13.03,-17.52,10.86,36.13,3.3,Harbor,RBC
013_DR,12.67,-17.55,14.81,47.94,3.2,Harbor,RBC
025_DR,12.76,-17.55,14.52,47.27,3.3,Harbor,RBC
028_DR,12.23,-18.66,14.47,47.35,3.3,Harbor,RBC
022_DR,12.53,-17.05,13.53,43.92,3.2,Harbor,RBC
024_DR,12.34,-16.83,14.51,47.31,3.3,Harbor,RBC
010_DR,12.7,-17.53,14.99,48.29,3.2,Harbor,RBC
026_DR,13.13,-17.61,15.09,48.64,3.2,Harbor,RBC
020_DR,12.58,-17.35,14.77,47.64,3.2,Harbor,RBC
016_DR,12.86,-17.72,14.25,46.62,3.3,Harbor,RBC
003_DR,12.86,-17.04,14.59,47.42,3.2,Harbor,RBC
019_DR,12.77,-17.88,14.47,47.27,3.3,Harbor,RBC
027_DR,13.39,-16.31,14.75,47.54,3.2,Harbor,RBC
011_DR,12.89,-17.61,14.7,47.73,3.2,Harbor,RBC
018_DR,13,-17,14.74,47.79,3.2,Harbor,RBC
009_DR,13.51,-17.45,14.75,48.57,3.3,Harbor,RBC
015_DR,12.84,-17.56,14.53,47.77,3.3,Harbor,RBC
008_DR,12.82,-18.06,14.4,47.75,3.3,Harbor,RBC
014_DR,13.68,-17.29,14.67,48.11,3.3,Harbor,RBC
006_DR,13.34,-17.18,14.62,48.1,3.3,Harbor,RBC
021_DR,13.89,-17.54,14.15,46.9,3.3,Harbor,RBC
007_DR,12.98,-17.61,14.02,46.94,3.3,Harbor,RBC
002_DR,14.53,-18.12,11.61,41.93,3.6,Harbor,RBC
004_DR,14.5,-18.34,11.8,42.61,3.6,Harbor,RBC
005_DR,15.86,-17.49,11.39,41.15,3.6,Harbor,RBC
003_DR,14.83,-17.9,11.12,40.87,3.7,Harbor,RBC
004_DR,14.1203271,-17.86215499,14.51017124,48.43274,3.337847584,Harbor,RBC
005_DR,15.07610211,-17.09874611,14.49838998,47.73182723,3.292215707,Harbor,RBC
001_DR,14.03038028,-17.53987078,14.56519068,47.36972524,3.252255756,Harbor,RBC
002_DR,14.23004609,-17.27279536,14.63982895,48.16632214,3.290087767,Harbor,RBC
