name,x,d13c,X.N,X.C,C.N.ratio,Species,Type,Region
001_DP,15.34,-17.84,10.62,37.93,3.6,Harbor,Plasma,1
006_DP,13.36,-19.08,11.46,43.16,3.8,Harbor,Plasma,1
007_DP,13.76,-18.51,11.62,43.23,3.7,Harbor,Plasma,1
008_DP,13.03,-19.17,11.71,43.57,3.7,Harbor,Plasma,1
008_DP,13.06,-19.14,11.34,42.97,3.8,Harbor,Plasma,1
010_DP,12.97,-19.19,11.83,43.29,3.7,Harbor,Plasma,1
011_DP,13.24928096,-19.14191948,10.82409671,40.93748043,3.782068983,Harbor,Plasma,1
012_DP,12.92,-19.12,11.94,43.44,3.6,Harbor,Plasma,1
012_DP,12.95037613,-18.70791516,11.16652887,42.19483312,3.7786884,Harbor,Plasma,1
013_DP,12.49,-19.04,11.77,42.75,3.6,Harbor,Plasma,1
014_DP,13.28460327,-18.82387652,11.44183833,42.07521389,3.677312393,Harbor,Plasma,1
015_DP,13.22,-18.79,11.94,43.43,3.6,Harbor,Plasma,1
016_DP,13.59,-18.41,11.39,42.3,3.7,Harbor,Plasma,1
017_DP,13.02,-17.94,12.29,44.63,3.6,Harbor,Plasma,1
018_DP,13.67,-18.54,11.66,45.49,3.9,Harbor,Plasma,1
019_DP,12.96,-19.19,11.82,43.71,3.7,Harbor,Plasma,1
020_DP,13.17,-19.12,10.24,38.93,3.8,Harbor,Plasma,1
021_DP,13.53,-18.83,11.63,44.07,3.8,Harbor,Plasma,1
022_DP,13.74409395,-17.82000427,11.794638,43.2988938,3.671065938,Harbor,Plasma,1
023_DP,13.78,-18.34,10.11,37.51,3.7,Harbor,Plasma,1
024_DP,13.36,-17.76,11.52,42.37,3.7,Harbor,Plasma,1
025_DP,14.18,-18.12,11.6,42.94,3.7,Harbor,Plasma,1
026_DP,13.7,-18.53,12.02,43.69,3.6,Harbor,Plasma,1
027_DP,13.94,-16.58,11.74,42.7,3.6,Harbor,Plasma,1
028_DP,13.26,-19.27,11.75,42.99,3.7,Harbor,Plasma,1
029_DP,14.24,-17.81,11.75,43.07,3.7,Harbor,Plasma,1
