group,d13c,d15n
Flatfish,-17.11499648,9.989380489
Scorpionfish,-17.77063322,11.02301968
Scorpionfish,-18.30113345,10.71447535
Flatfish,-17.22,10.1627027
Flatfish,-16.74,9.730036466
Flatfish,-18.0121647,9.033032436
Squid,-18.08133756,10.8758121
Squid,-19.12,11.54705434
Plaice,-17.4145324,10.94
Plaice,-16.96318024,11.24
Plaice,-17.24411833,9.63
Squid,-17.92,11.44993083
Flatfish,-18.04773258,9.99
Small Benthics,-17.83239535,9.04
Scorpionfish,-17.92059283,9.659242639
Bluemouth,-19.80228722,11.71
Bluemouth,-17.889717,11.62
Small Benthics,-19.30704968,9.29
Bluemouth,-18.15107842,11.62757955
Plaice,-17.08441573,9.89
Scorpionfish,-18.22477642,11.38898676
Small Benthics,-19.08385735,10.76356026
Pelagics,-17.44205446,11.20628884
Small Benthics,-19.10954299,8.629290307
Small Benthics,-19.63518334,10.38
Flatfish,-18.83204332,9.59
Plaice,-17.41108158,11.69
Flatfish,-18.45121396,9.56
Scorpionfish,-18.35843899,10.88
Plaice,-17.77574262,11.29
Flatfish,-18.0276749,9.89
Scorpionfish,-18.60181676,10.71
Scorpionfish,-18.105484,10.47
Pelagics,-16.93078349,11.84356841
Scorpionfish,-18.25957351,10.96
Flatfish,-17.22793036,10.07
Flatfish,-17.58340534,9.93
Small Benthics,-19.96932278,9.97
Flatfish,-18.17401248,9.56
Flatfish,-17.56793607,10.1
Flatfish,-18.53459207,9.91
Pelagics,-17.8000028,11.34
Pelagics,-17.5914362,11.06
Small Benthics,-19.20362927,10.89
Flatfish,-16.9503964,10.88
Small Benthics,-18.5900314,10.39
Pelagics,-17.66443437,11.36
Flatfish,-17.55495719,10.33
Small Benthics,-18.5197391,9.93
Small Benthics,-17.59427448,11.44
Flatfish,-17.16046232,10.1
Pelagics,-16.83314968,12.23
Flatfish,-17.47638176,9.5
Pelagics,-16.94902095,11.26
Pelagics,-17.36,11.87115367
Scorpionfish,-18.09,10.13
Pelagics,-17.12,11.23
Flatfish,-17.36,9.67
Flatfish,-16.85,8.79
Scorpionfish,-18.71,10.68
Scorpionfish,-17.87,10.83
Small Benthics,-19.18,10.11
Small Benthics,-17.86,9.55
Squid,-18.01,9.54
Squid,-17.97,11.32
Flatfish,-18.3434834,9.069478396
Squid,-17.81,11.01
Flatfish,-17.75948859,10.92712744
Scorpionfish,-17.76,10.83361096
Benthic Sandeel*,-16.227,8.3
Benthic Sandeel*,-16.812,7.9
Pelagic Sandeel*,-21.728,9.8
Pelagic Sandeel*,-18.228,10.1
