"","iso1","iso2","group","community"
"1",-17.84,15.34,"Plasma","Harbor"
"2",-17.53987078,14.03038028,"RBC","Harbor"
"3",-18.12,14.53,"RBC","Harbor"
"5",-17.9,14.83,"RBC","Harbor"
"7",-18.34,14.5,"RBC","Harbor"
"9",-17.49,15.86,"RBC","Harbor"
"11",-17.18,13.34,"RBC","Harbor"
"12",-19.08,13.36,"Plasma","Harbor"
"13",-18.51,13.76,"Plasma","Harbor"
"14",-17.61,12.98,"RBC","Harbor"
"15",-19.14,13.06,"Plasma","Harbor"
"17",-18.06,12.82,"RBC","Harbor"
"18",-17.5,13.69,"RBC","Harbor"
"21",-19.19,12.97,"Plasma","Harbor"
"22",-17.53,12.7,"RBC","Harbor"
"23",-17.61,12.89,"RBC","Harbor"
"25",-19.14191948,13.24928096,"Plasma","Harbor"
"26",-19.12,12.92,"Plasma","Harbor"
"27",-16.89,12.96,"RBC","Harbor"
"29",-19.04,12.49,"Plasma","Harbor"
"30",-17.55,12.67,"RBC","Harbor"
"31",-18.82387652,13.28460327,"Plasma","Harbor"
"32",-17.29,13.68,"RBC","Harbor"
"33",-18.79,13.22,"Plasma","Harbor"
"34",-17.56,12.84,"RBC","Harbor"
"35",-17.72,12.86,"RBC","Harbor"
"36",-18.41,13.59,"Plasma","Harbor"
"37",-16.78,13.24,"RBC","Harbor"
"38",-17.94,13.02,"Plasma","Harbor"
"39",-17,13,"RBC","Harbor"
"40",-18.54,13.67,"Plasma","Harbor"
"41",-17.88,12.77,"RBC","Harbor"
"42",-19.19,12.96,"Plasma","Harbor"
"43",-17.35,12.58,"RBC","Harbor"
"44",-19.12,13.17,"Plasma","Harbor"
"45",-18.83,13.53,"Plasma","Harbor"
"46",-17.54,13.89,"RBC","Harbor"
"47",-17.82000427,13.74409395,"Plasma","Harbor"
"48",-17.05,12.53,"RBC","Harbor"
"49",-18.34,13.78,"Plasma","Harbor"
"50",-17.2,12.2,"RBC","Harbor"
"51",-16.83,12.34,"RBC","Harbor"
"52",-17.76,13.36,"Plasma","Harbor"
"53",-17.55,12.76,"RBC","Harbor"
"54",-18.12,14.18,"Plasma","Harbor"
"55",-18.53,13.7,"Plasma","Harbor"
"56",-17.61,13.13,"RBC","Harbor"
"57",-16.58,13.94,"Plasma","Harbor"
"58",-16.31,13.39,"RBC","Harbor"
"59",-19.27,13.26,"Plasma","Harbor"
"60",-18.66,12.23,"RBC","Harbor"
"61",-17.52,13.03,"RBC","Harbor"
"62",-17.81,14.24,"Plasma","Harbor"
"63",-17.98,14.02,"RBC","Grey"
"64",-18.43,13.82,"Plasma","Grey"
"65",-17.25,14.61,"RBC","Grey"
"66",-18.09,14.17,"Plasma","Grey"
"67",-17.78,13.76,"RBC","Grey"
"68",-17.77,13.44,"Plasma","Grey"
"69",-17.78,13.79,"RBC","Grey"
"70",-18.53,13.82,"Plasma","Grey"
"71",-18.31,13.44,"RBC","Grey"
"72",-18.06,13.92,"Plasma","Grey"
"73",-18.16,14,"Plasma","Grey"
"74",-17.26,14.28,"RBC","Grey"
"75",-17.2,14.74,"RBC","Grey"
"76",-18.26486691,14.51004657,"Plasma","Grey"
"77",-17.33,14.01,"RBC","Grey"
"78",-18.58655323,13.81890561,"Plasma","Grey"
"79",-18.70492421,13.73886256,"Plasma","Grey"
"80",-17.86,13.35,"RBC","Grey"
"81",-18.41,13.23,"Plasma","Grey"
