"","name","δ15N..air","δ13C...V.PDB","Spp","Tow"
"1","FS10LE",10.59531235,-17.77063322,"Grey Gurnard",19
"2","FS11LE",10.62904628,-18.30113345,"Grey Gurnard",19
"3","FS12LE",10.38,-17.22,"Common Dab",41
"4","FS13LE",9.87,-16.74,"Long Rough Dab",33
"5","FS14LE",9.170213118,-18.0121647,"Long Rough Dab",33
"6","FS15LE",10.80483733,-18.08133756,"Squid",41
"7","FS16LE",8.12,-19.12,"Squid",41
"8","FS17LE",11.07598309,-17.4145324,"Plaice",19
"9","FS18LE",11.4038203,-16.96318024,"Plaice",19
"10","FS19LE",9.59449342,-17.24411833,"Plaice",43
"11","FS1LE",9.936586899,-17.11499648,"Common Dab",41
"12","FS20LE",9.670830918,-18.04773258,"Lemon Sole",19
"13","FS21LE",8.829295268,-17.83239535,"Norway Pout",33
"14","FS22LE",10.84967988,-17.92059283,"Red Gurnard",19
"15","FS23LE",11.47725419,-19.80228722,"Bluemouth",33
"16","FS24LE",11.45827074,-17.889717,"Bluemouth",33
"17","FS25LE",9.09297643,-19.30704968,"Blue Whiting",33
"18","FS26LE",11.51340822,-18.15107842,"Bluemouth",33
"19","FS27LE",9.904811299,-17.08441573,"Plaice",19
"20","FS28LE",11.42609797,-18.22477642,"Red Gurnard",19
"21","FS29LE",9.365438581,-19.08385735,"Blue Whiting",33
"22","FS2LE",10.47,-17.92,"Squid",41
"23","FS30LE",8.675798323,-19.10954299,"Blue Whiting",33
"24","FS31LE",10.32927835,-19.63518334,"Norway Pout",33
"25","FS32LE",9.573685477,-18.83204332,"Lemon Sole",19
"26","FS33LE",11.19157153,-17.41108158,"Plaice",43
"27","FS34LE",9.114585313,-18.45121396,"Lemon Sole",19
"28","FS35LE",10.53305637,-18.35843899,"Red Gurnard",19
"29","FS36LE",10.92259488,-17.77574262,"Plaice",19
"30","FS37LE",9.619882575,-18.0276749,"Common Dab",19
"31","FS38LE",10.64891171,-18.60181676,"Grey Gurnard",38
"32","FS39LE",10.37904933,-18.105484,"Grey Gurnard",38
"33","FS3LE",11.05028438,-17.44205446,"Argentine",33
"34","FS40LE",10.95275118,-18.25957351,"Grey Gurnard",38
"35","FS41LE",10.12126819,-17.22793036,"Common Dab",43
"36","FS42LE",9.955816515,-17.58340534,"Common Dab",38
"37","FS43LE",9.890818757,-19.96932278,"Norway Pout",26
"38","FS44LE",9.596312286,-18.17401248,"Common Dab",19
"39","FS45LE",10.15639388,-17.56793607,"Common Dab",38
"40","FS46LE",9.720155722,-18.53459207,"Common Dab",19
"41","FS47LE",11.269979,-17.8000028,"Argentine",38
"42","FS48LE",11.03821858,-17.5914362,"Argentine",38
"43","FS49LE",10.95901167,-19.20362927,"Poor Cod",38
"44","FS50LE",11.22230467,-16.9503964,"Common Dab",43
"45","FS51LE",10.50647313,-18.5900314,"Poor Cod",38
"46","FS52LE",11.37311099,-17.66443437,"Cod",19
"47","FS53LE",10.31361445,-17.55495719,"Common Dab",38
"48","FS54LE",9.854918216,-18.5197391,"Norway Pout",26
"49","FS55LE",11.26850242,-17.59427448,"Poor Cod",38
"50","FS56LE",10.23058205,-17.16046232,"Common Dab",43
"51","FS57LE",12.37821924,-16.83314968,"Cod",19
"52","FS58LE",9.622782194,-17.47638176,"Common Dab",33
"53","FS59LE",11.02262273,-16.94902095,"Argentine",38
"54","FS5LE",10.75063398,-17.70041732,"Cod",19
"55","FS60LE",10.11879426,-18.08932242,"Grey Gurnard",43
"56","FS61LE",10.78747951,-17.12384882,"Cod",19
"57","FS62LE",9.185307683,-17.36408415,"Common Dab",33
"58","FS63LE",8.533659376,-16.84796309,"Common Dab",33
"59","FS64LE",10.49751715,-18.71223578,"Grey Gurnard",43
"60","FS65LE",10.6430739,-17.87094162,"Grey Gurnard",43
"61","FS66LE",10.02729865,-19.18088469,"Norway Pout",26
"62","FS67LE",8.869524683,-17.85560561,"Norway Pout",33
"63","FS68LE",10.86417564,-18.01057759,"Squid",38
"64","FS69LE",11.47374375,-17.96917973,"Squid",38
"65","FS6LE",11.18,-17.36,"Argentine",33
"66","FS70LE",11.21962364,-17.8076034,"Squid",38
"67","FS7LE",10.03358108,-18.3434834,"Long Rough Dab",33
"68","FS8LE",10.47609751,-17.75948859,"Common Dab",41
"69","FS9LE",10.65,-17.76,"Grey Gurnard",19
