Spp,d13c,d15n,name
Common Dab,-17.11499648,9.989380489,FS1
Grey Gurnard,-17.77063322,11.02301968,FS10
Grey Gurnard,-18.30113345,10.71447535,FS11
Common Dab,-17.22,10.1627027,FS12
Long Rough Dab,-16.74,9.730036466,FS13
Long Rough Dab,-18.0121647,9.033032436,FS14
Squid,-18.08133756,10.8758121,FS15
Squid,-19.12,11.54705434,FS16
Plaice,-17.4145324,10.94,FS17
Plaice,-16.96318024,11.24,FS18
Plaice,-17.24411833,9.63,FS19
Squid,-17.92,11.44993083,FS2
Lemon Sole,-18.04773258,9.99,FS20
Norway Pout,-17.83239535,9.04,FS21
Red Gurnard,-17.92059283,9.659242639,FS22
Bluemouth,-19.80228722,11.71,FS23
Bluemouth,-17.889717,11.62,FS24
Blue Whiting,-19.30704968,9.29,FS25
Bluemouth,-18.15107842,11.62757955,FS26
Plaice,-17.08441573,9.89,FS27
Red Gurnard,-18.22477642,11.38898676,FS28
Blue Whiting,-19.08385735,10.76356026,FS29
Blue Whiting,-19.10954299,8.629290307,FS30
Norway Pout,-19.63518334,10.38,FS31
Lemon Sole,-18.83204332,9.59,FS32
Plaice,-17.41108158,11.69,FS33
Lemon Sole,-18.45121396,9.56,FS34
Red Gurnard,-18.35843899,10.88,FS35
Plaice,-17.77574262,11.29,FS36
Common Dab,-18.0276749,9.89,FS37
Grey Gurnard,-18.60181676,10.71,FS38
Grey Gurnard,-18.105484,10.47,FS39
Grey Gurnard,-18.25957351,10.96,FS40
Common Dab,-17.22793036,10.07,FS41
Common Dab,-17.58340534,9.93,FS42
Norway Pout,-19.96932278,9.97,FS43
Common Dab,-18.17401248,9.56,FS44
Common Dab,-17.56793607,10.1,FS45
Common Dab,-18.53459207,9.91,FS46
Common Dab,-16.9503964,10.88,FS50
Cod,-17.66443437,11.36,FS52
Common Dab,-17.55495719,10.33,FS53
Norway Pout,-18.5197391,9.93,FS54
Common Dab,-17.16046232,10.1,FS56
Cod,-16.83314968,12.23,FS57
Common Dab,-17.47638176,9.5,FS58
Grey Gurnard,-18.09,10.13,FS60
Cod,-17.12,11.23,FS61
Common Dab,-17.36,9.67,FS62
Common Dab,-16.85,8.79,FS63
Grey Gurnard,-18.71,10.68,FS64
Grey Gurnard,-17.87,10.83,FS65
Norway Pout,-19.18,10.11,FS66
Norway Pout,-17.86,9.55,FS67
Squid,-18.01,9.54,FS68
Squid,-17.97,11.32,FS69
Long Rough Dab,-18.3434834,9.069478396,FS7
Squid,-17.81,11.01,FS70
Common Dab,-17.75948859,10.92712744,FS8
Grey Gurnard,-17.76,10.83361096,FS9
Benthic Sandeel,-16.227,8.3,AMTF
Benthic Sandeel,-16.812,7.9,AMSB
Pelagic Sandeel,-21.728,9.8,AMK1
Pelagic Sandeel,-18.228,10.1,AMK2
